collection_id,title_en,title_es,title_pt,indigenous_title,languages_documented,language_codes,countries,collectors,collection_url,islandora_pid
506,A Course in Bolivian Quechua,Un Curso en el Quechua de Bolivia,Um curso em Quechua Boliviano,,"Quechua, South Bolivian",quh,Bolivia,Rudolph Troike,https://ailla.utexas.org/collections/506,ailla:124388
669,AAA Workshop: Technological Methodologies in Language Documentation and Anthropology,Taller de la AAA: Metodologías Tecnológicas en la Documentación Lingüística y la Antropología,Oficina AAA: Metodologias tecnológicas na documentação e antropologia do idioma,,Multiple,mul,United States of America,Susan Smythe Kung; Jenny L. Davis; Kristine Ann Hildebrandt; Carlos Nash,https://ailla.utexas.org/collections/669,ailla:282844
1421,Acquisition of Mayan Languages Collection of Clifton Pye,Colección de la Adquisición de Lenguas Mayas de Clifton Pye,Coleção da Aquisição da Língua Maia Clifton Pye,,K'ichee'; Ch'ol; Q'anjob'al; Mam,quc; ctu; kjb; mam,Mexico; Guatemala,Clifton Pye,https://ailla.utexas.org/collections/1421,ailla:124375
1181,AILLA - Collection Guides,AILLA - Guías de Colecciones,AILLA - Guias de coleções,,"Akateko; K'ichee'; Ch'ol; Kichwa, Cañar Highland; Huasteco; Chuj; Baniwa; Tzotzil; Tzeltal; Awakateko; Tektiteko; Achi; Poqomam; Sakapulteko; Sipakapense; Uspanteko; Itza'; Q'eqchi'; Tz'utujil; Chorti; Q'anjob'al; Kaqchikel; Popti'; Mam; Poqomchi'; Mocho; Ixil; Chontal, Tabasco; Tojolab'al; Maya, Yucatec; Iskonawa",knj; quc; ctu; qxr; hus; cac; bwi; tzo; tzh; agu; ttc; acr; poc; quv; qum; usp; itz; kek; tzj; caa; kjb; cak; jac; mam; poh; mhc; ixl; chf; toj; yua; isc,United States of America,,https://ailla.utexas.org/collections/1181,ailla:256127
541,AILLA - Elicitation Tools,AILLA - Herramientas de Elicitación,Ferramentas de Ailla - Elicitação,,Multiple,mul,United States of America; Mexico; Guatemala,,https://ailla.utexas.org/collections/541,ailla:124469
672,AILLA Papers,Papeles sobre AILLA,Papeis de AILLA,,Multiple,mul,United States of America,,https://ailla.utexas.org/collections/672,ailla:257284
551,AILLA's South American Languages Collection,Colección de Idiomas de Sudamérica de AILLA,Coleção de idiomas sul -americanos de AILLA,,Kawésqar; Mapudungun,alc; arn,Argentina; Chile,,https://ailla.utexas.org/collections/551,ailla:124512
509,Akimel O'odham Collection of Eric Maurice Jackson,Colección Akimel O'odham de Eric Maurice Jackson,Akimel O'odham Coleção de Eric Maurice Jackson,,Akimel O'odham,ood,United States of America,Eric Maurice Jackson,https://ailla.utexas.org/collections/509,ailla:124409
1349,Alto Balsas Nahuatl Collection of Dominique Raby,Colección del Náhuatl del Alto Balsas de Dominique Raby,Coleção Nahuatl de Alto Balsas por Dominique Raby,Alto Balsas Nahuas imitlatlol okitlatlalij Dominique Raby,"Nahuatl, Guerrero",ngu,Mexico,Dominique Raby,https://ailla.utexas.org/collections/1349,ailla:124429
481,"Amazonian Languages Collection of Arthur P. Sorensen, Jr.","Colección de Lenguas Amazónicas de Arthur P. Sorensen, Jr.","Coleção de idiomas amazônicos de Arthur P. Sorensen, Jr.",,Curripaco; Tucano; Cubeo; Desano; Multiple; Wanano,kpc; tuo; cub; des; mul; gvc,Colombia,"Arthur P. Sorensen, Jr.",https://ailla.utexas.org/collections/481,ailla:124488
417,Amazonian Languages Collection of Ernest Migliazza,Colección de Lenguas Amazonicas de Ernest Migliazza,Coleção de idiomas amazônicos de Ernest Migliazza,,Bocotá; Ngäbere; Ninam; Yanam; Yanomámi; Sanumá; Yanomamö; Máku; Arutani; Makushi; Wapishana; Makiritari; Sapé; Katukína; Ticuna; Shanenawa; Marúbo; Kashinawa; Kanamarí,sab; gym; shb; shb; wca; xsu; guu; xak; atx; mbc; wap; mch; spc; knt; tca; swo; qkf; cbs; knm,Panama; Venezuela; Brazil,Ernest Migliazza,https://ailla.utexas.org/collections/417,ailla:124425
1021,Andoke Collection of Jon Landaburu,Colección de Andoke de Jon Landaburu,Coleção de Andoke de Jon Landaburu,,Andoke,ano,Colombia,Jon Landaburu,https://ailla.utexas.org/collections/1021,ailla:124413
552,Archiving the Terrence Kaufman Collection,Archivando la Colección de Terrence Kaufman,Arquivando a coleção de Terrence Kaufman,,Multiple,mul,United States of America; Mexico; Guatemala,,https://ailla.utexas.org/collections/552,ailla:245023
507,Argentinian Languages Collection of Ana Gerzenstein,Colección de Lenguas Argentinianas de Ana Gerzenstein,Coleção de idiomas argentinos de Ana Gerzenstein,,Chorote; Maká; Wichí Lhamtés Vejoz,crt; mca; wlv,Argentina,Ana Gerzenstein,https://ailla.utexas.org/collections/507,ailla:124394
533,Argentinian Languages Collection of Christina Messineo,Colección de Lenguas Argentinas de Christina Messineo,Coleção de idiomas argentinos de Christina Messineo,,Qom,tob,Argentina,Christina Messineo,https://ailla.utexas.org/collections/533,ailla:124424
502,Argentinian Languages Collection of Herminia Martín,Colección de Lenguas de Argentina de Herminia Martín,Coleção de idiomas argentinos de Herminia Martín,,Chorote; Pilagá; Nivaclé; Wichí Lhamtés Vejoz,crt; plg; cag; wlv,Argentina,Herminia Martín,https://ailla.utexas.org/collections/502,ailla:124454
508,Argentinian Languages Collection of Jorge Suárez,Colección de Lenguas Argentinas de Jorge Suárez,Coleção de idiomas argentinos de Jorge Suárez,,Tehuelche; Ona,teh; ona,Argentina; Chile,Jorge Suárez,https://ailla.utexas.org/collections/508,ailla:124415
1002,Argentinian Languages Collection of Lucía Golluscio,Colección de Lenguas Argentinianas de Lucía Golluscio,Coleção de idiomas argentinos de Lucía Golluscio,,Mapudungun; Wichí Lhamtés Vejoz,arn; wlv,Argentina,Lucía Golluscio,https://ailla.utexas.org/collections/1002,ailla:124393
408,Argentinian Languages Collection of Salvador Bucca,Colección de Lenguas Argentinas de Salvador Bucca,Coleção de idiomas argentinos de Salvador Bucca,,"Guaraní, Eastern Bolivian; Tapieté; Qom; Mocoví; Pilagá; Nivaclé",gui; tpj; tob; moc; plg; cag,Argentina,Salvador Bucca,https://ailla.utexas.org/collections/408,ailla:124400
1361,Arutani (Socio)Linguistic Documentation Corpus,Corpus de documentación (socio)lingüística del Arutani,Corpus do documentação (socio)linguístico de Arutani,,Ninam; Arutani,shb; atx,Venezuela; Brazil,Jorge Emilio Rosés Labrada; Francia Medina; Thiago Chacon,https://ailla.utexas.org/collections/1361,ailla:259841
540,Ashéninka Perené Collection of Elena Mihas,Colección de Ashéninka Perené de Elena Mihas,Coleção Ashéninka Perené de Elena Mihas,,Ashéninka Perené,prq,Peru,Elena Mihas,https://ailla.utexas.org/collections/540,ailla:124463
409,Aymara Collection of Geraldine Quartararo,Colección de Aymara por Geraldine Quartararo,Coleção Aymara de Geraldine Quartararo,,"Aymara, Central",ayr,Bolivia; Sweden,Geraldine Quartararo,https://ailla.utexas.org/collections/409,ailla:274454
462,Aymara Language Tapes of Jane Collins and Michael Painter,Grabaciones en Lengua Aymara de Jane Collins y Michael Painter,Fitas no Língua Aymara de Jane Collins e Michael Painter,,"Aymara, Central",ayr,Peru,Michael Painter; Jane Collins,https://ailla.utexas.org/collections/462,ailla:284546
686,Balsas Valley Nahuatl Collection of Jonathan Amith,Colección del Náhuatl de la Cuenca del Balsas de Jonathan Amith,Coleção de Jonathan Amith de Balsas Valley Nahuatl,,"Nahuatl, Guerrero",ngu,Mexico,Jonathan Amith,https://ailla.utexas.org/collections/686,ailla:124372
1801,Baniwa of the Aiary and Içana Collection of Robin M. Wright,Colección del Baniwa del Ayarí e Isana de Robin M. Wright,Coleção Baniwa do Aiary e Içana de Robin M. Wright,,Baniwa,bwi,Brazil,Robin M. Wright,https://ailla.utexas.org/collections/1801,ailla:263497
1341,Bará Collection of Jean Jackson,Colección Bará de Jean Jackson,Coleção Bará de Jean Jackson,,Bará,bao,Brazil,Jean Jackson,https://ailla.utexas.org/collections/1341,ailla:124410
532,Bocotá Collection of Enrique Margery Peña,Colección de Bocotá de Enrique Margery Peña,Coleção Bocotá de Enrique Margery Peña,,Bocotá,sab,Costa Rica,Enrique Margery Peña,https://ailla.utexas.org/collections/532,ailla:124420
410,Bolivian Languages Survey of Colette Grinevald,Encuesta de Lenguas Bolivianas de Colette Grinevald,Pesquisa de idiomas bolivianos de Colette Grinevald,,"Wichí Lhamtés Nocten; Yuki; Ese Ejja; Chiquitano; Moxo, Ignaciano; Itonama; Movima; Sirionó; Trinitario; Tsimané; Mosetén",mtp; yuq; ese; cax; ign; ito; mzp; srq; trn; cas; cas,Bolivia,Colette Grinevald,https://ailla.utexas.org/collections/410,ailla:124396
554,Bolivian Quechua Collection of Gladys Camacho Rios,Colección de Quechua Boliviano de Gladys Camacho Rios,Coleção da Quechua Boliviana de Gladys Camacho Rios,,"Quechua, South Bolivian",quh,Bolivia,Gladys Camacho Rios,https://ailla.utexas.org/collections/554,ailla:250785
421,Bolivian Quechua Verbal Art,Arte Verbal Quechua Boliviano,Arte Verbal Quechua Boliviano,Qhichwa Runaq Imayna Parlasqan,"Quechua, South Bolivian",quh,Bolivia,Carlos Flores Quispe,https://ailla.utexas.org/collections/421,ailla:284538
722,Cañar Collection of Judy Blankenship,Colección de Cañar de Judy Blankenship,Coleção Cañar de Judy Blankenship,,"Kichwa, Cañar Highland",qxr,Ecuador,Judy Blankenship,https://ailla.utexas.org/collections/722,ailla:276556
