country_id,name_en,name_es,name_pt,iso_country_code,viaf_url
48,Algeria,Argélia,Argélia,DZA,
10,Argentina,Argentina,Argentina,ARG,
43,Australia,Australia,Austrália,AUS,
19,Belize,Belice,Belize,BLZ,
15,Bolivia,Bolivia,Bolívia,BOL,
5,Brazil,Brasil,Brasil,BRA,
58,Cameroon,Camerún,Camarões,CMR,
24,Canada,Canadá,Canadá,CAN,
16,Chile,Chile,Chile,CHL,
54,China,China,China,CHN,
6,Colombia,Colombia,Colômbia,COL,
7,Costa Rica,Costa Rica,Costa Rica,CRI,
47,Czech Republic,República Checa,República Tcheca,CZE,
57,Democratic Republic of the Congo,República Democrática del Congo,República Democrática do Congo,COD,
51,Denmark,Dinamarca,Dinamarca,DNK,
9,Ecuador,Ecuador,Equador,ECU,
20,El Salvador,El Salvador,El Salvador,SLV,
60,Equatorial Guinea,Guinea Ecuatorial,Guiné Equatorial,GNQ,
52,Finland,Finlandia,Finlândia,FIN,
25,France,Francia,França,FRA,
21,French Guiana,Guayana Francesa,Guiana Francesa,GUF,
59,Gabon,Gabón,Gabão,GAB,
45,Georgia,Georgia,Geórgia,GEO,
17,Germany,Alemania,Alemanha,DEU,
53,Ghana,Ghana,Gana,GHA,
44,Greece,Grecia,Grécia,GRC,
8,Guatemala,Guatemala,Guatemala,GTM,
18,Guyana,Guyana,Guiana,GUY,
11,Honduras,Honduras,Honduras,HND,
30,Hungary,Hungría,Hungria,HUN,
36,India,Índia,Índia,IND,
61,Indonesia,Indonesia,Indonésia,IDN,
39,Iran,Irán,Irã,IRN,
27,Italy,Italia,Itália,ITA,
28,Japan,Japón,Japão,JPN,
55,Kenya,Kenia,Quênia,KEN,
2,Mexico,México,México,MEX,
34,Micronesia,Micronesia,Micronésia,FSM,
29,Netherlands,Países Bajos,Países Baixos,NLD,
13,Nicaragua,Nicaragua,Nicarágua,NIC,
42,Nigeria,Nigeria,Nigéria,NGA,
38,Palau,Palau,Palau,PLW,
3,Panama,Panamá,Panamá,PAN,
40,Papua New Guinea,Papúa Nueva Guinea,Papua Nova Guiné,PNG,
14,Paraguay,Paraguay,Paraguai,PRY,
12,Peru,Perú,Peru,PER,
161,Poland,Polonia,Polônia,POL,
121,Portugal,Portugal,Portugal,PRT,
31,Russia,Rusia,Rússia,RUS,
50,Spain,España,Espanha,ESP,
37,Sri Lanka,Sri Lanka,Sri Lanka,LKA,
23,Suriname,Surinam,Suriname,SUR,
32,Sweden,Suecia,Suécia,SWE,
49,Switzerland,Suiza,Suíça,CHE,
56,Tanzania,Tanzania,Tanzânia,TZA,
35,Tonga,Tonga,Tonga,TON,
33,Turkey,Turquía,Turquia,TUR,
41,Uganda,Uganda,Uganda,UGA,
141,Ukraine,Ucrania,Ucrânia,UA,
26,United Kingdom,Reino Unido,Reino Unido,GBR,
1,United States of America,Estados Unidos de América,Estados Unidos da América,USA,
22,Uruguay,Uruguay,Uruguai,URY,
46,Vanuatu,Vanuatu,Vanuatu,VUT,
4,Venezuela,Venezuela,Venezuela,VEN,
