language_id,name_en,name_es,name_pt,indigenous_name,alternative_name,iso_639_3_code,language_family,language_family_id,language_family_code,countries,country_codes,ailla_language_url,description,islandora_pid,collection_count,collection_urls,earliest_item_year,latest_item_year,total_items,public_items,earliest_deposit_year,latest_deposit_year,latitude,longitude
179,Achi,achí,achi,Achi',Qach’a’teem,acr,Mayan,195.0,myn,Guatemala,GTM,https://ailla.utexas.org/languages/179,"According to Terrence Kaufman (p.c. on March 23, 2018) the 2 dialects of Achí (Rabinal Achí and Cubulco Achí) are really dialects of Kíche'. Kaufman also says that the Rabinal Achí dialect is spoken in San Miguel Chicaj.",ailla:119670,3,https://ailla.utexas.org/collections/1181; https://ailla.utexas.org/collections/783; https://ailla.utexas.org/collections/987,1962.0,2017.0,32,32,2006.0,2020.0,15.1023,-90.576
17,Achuar,achuar,achuar,Achuár chícham,"Achual, Achuale, Achuar, Achuar Chicham, Achuara, Jivaro, Maina, Mayna",acu,Jivaroan,222.0,sai,Ecuador,ECU,https://ailla.utexas.org/languages/17,An Indigenous language spoken by members of the Achuar community.,ailla:119504,1,https://ailla.utexas.org/collections/964,1960.0,2004.0,11,8,2002.0,2012.0,,
508,Afro-Asiatic,afro-asiático,afro-asiático,,,afa,,,,,,https://ailla.utexas.org/languages/508,,ailla:254681,0,,,,0,0,,,,
223,Aguaruna,aguaruna,aguaruna,Awajún,"Ahuajun, Aguajún, Ahuajún, Awajunt",agr,Jivaroan,222.0,sai,Peru,PER,https://ailla.utexas.org/languages/223,"An Indigenous language spoken by over 50,000 people in the Aguaruna community.",ailla:119717,1,https://ailla.utexas.org/collections/964,1981.0,1981.0,2,2,2011.0,2011.0,,
613,Aikanã,aikaná,aikanã,Aikanã,"Wari, Corumbiara, Huari, Kasupá, Kolumbiara, Mondé, Tubarão, Uari",tba,South American Indigenous Languages,556.0,sai,Brazil,BRA,https://ailla.utexas.org/languages/613,An Indigenous language spoken by approximately 150 people in the Aikanã community.,ailla:284521,1,https://ailla.utexas.org/collections/405,2021.0,2021.0,2,2,2022.0,2022.0,,
127,Akateko,Akateko,akateko,Q'anjob'al,"Acatec, San Miguel Acatán Kanjobal, Conob, Western Kanjobal, Acateco, Western Q'anjob'al",knj,Mayan,195.0,myn,Guatemala,GTM,https://ailla.utexas.org/languages/127,An Indigenous language spoken primarily in Huehuetenango.,ailla:119616,4,https://ailla.utexas.org/collections/1181; https://ailla.utexas.org/collections/1302; https://ailla.utexas.org/collections/987; https://ailla.utexas.org/collections/403,1962.0,2017.0,51,47,2006.0,2020.0,15.664,-91.6443
98,Akimel O'odham,pima,o'odham,Akimel O’odham,"Pima, Nebome, Nevome, O’odham, O’othham, Papago-Pima, Upper Piman, Tohono O’odham",ood,Uto-Aztecan,225.0,azc,United States of America; Mexico,USA; MEX,https://ailla.utexas.org/languages/98,Dialect of Tohono O'odam (Papago),ailla:119586,3,https://ailla.utexas.org/collections/509; https://ailla.utexas.org/collections/515; https://ailla.utexas.org/collections/1354,2000.0,2005.0,3,1,2006.0,2007.0,,
589,Akuntsu,akuntsu,akuntsu,,"Akunsu, Akuntsú, Akuntsun, Akunt’su",aqz,Tupian,357.0,tup,Brazil,BRA,https://ailla.utexas.org/languages/589,,ailla:280076,1,https://ailla.utexas.org/collections/665,2011.0,2011.0,1,1,2021.0,2021.0,,
344,Algonquian,algonquina,algonquino,,,alg,,,,,,https://ailla.utexas.org/languages/344,,ailla:119838,2,https://ailla.utexas.org/collections/684; https://ailla.utexas.org/collections/1663,1957.0,1964.0,3,3,2014.0,2017.0,,
238,Amahuaca,amahuaco,amahuaca,,"Amaguaco, Ameuhaque, Ipitineri, Sayaco, Amawaka, Amahuaka, Amajuaca, Ipitnere, Sayaco",amc,Panoan,230.0,sai,Brazil; Peru,BRA; PER,https://ailla.utexas.org/languages/238,,ailla:119732,1,https://ailla.utexas.org/collections/608,2000.0,2000.0,1,1,,,,
472,American Sign Language,lengua de señas norteamericana,língua de sinais americana,,"Ameslan, ASL",ase,,,,United States of America,USA,https://ailla.utexas.org/languages/472,,ailla:254616,0,,1977.0,1981.0,2,2,2017.0,2017.0,,
